Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Papua New Guinea,PNG,2028,0.361660647
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Rwanda,RWA,2028,0.440664686
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Saint Kitts and Nevis,KNA,2028,0.198997998
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Saint Lucia,LCA,2028,0.337263563
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Saint Vincent and the Grenadines,VCT,2028,0.341633883
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Seychelles,SYC,2028,0.165624832
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Sierra Leone,SLE,2028,0.486513864
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Singapore,SGP,2028,0.150539559
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,South Africa,ZAF,2028,0.36507858
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Eswatini,SWZ,2028,0.40860502
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Togo,TGO,2028,0.484593185
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Tonga,TON,2028,0.299767164
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Trinidad and Tobago,TTO,2028,0.164507859
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Tuvalu,TUV,2028,0.298522182
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Uganda,UGA,2028,0.44868155
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,United Kingdom,GBR,2028,0.112902379
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,United Republic of Tanzania,TZA,2028,0.434801792
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Samoa,WSM,2028,0.300320729
Service Delivery,Cancer Treatment,dx 8 stage 2,Mean,Zambia,ZMB,2028,0.392046128
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Antigua and Barbuda,ATG,2029,0.20846466
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Australia,AUS,2029,0.220560505
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Bahamas,BHS,2029,0.205955786
